<<<<<<< HEAD
遥控 -4.21696599155 -4.70780003587
发错 -4.69408724627 -4.4067700402
金字招牌 -4.69408724627 -4.23067878115
不大 -3.54795921059 -3.59385668356
包薄 -4.69408724627 -4.4067700402
荃湾 -4.69408724627 -4.4067700402
银河 -4.69408724627 -4.10574004454
总经理 -4.3930572506 -4.70780003587
边角 -4.21696599155 -4.4067700402
这种 -3.29614723759 -3.45252753076
卡顿 -4.3930572506 -4.70780003587
别墅式 -4.69408724627 -4.4067700402
蓝光 -4.69408724627 -4.4067700402
肚量 -4.69408724627 -4.4067700402
习习 -4.69408724627 -4.4067700402
高原 -4.69408724627 -4.4067700402
未曾 -4.69408724627 -4.4067700402
货真价实 -4.69408724627 -4.4067700402
带工 -4.69408724627 -4.4067700402
鼓吹 -4.3930572506 -4.70780003587
小巫见大巫 -4.3930572506 -4.70780003587
货物 -3.99511724193 -4.10574004454
在所难免 -4.69408724627 -4.4067700402
车位 -4.69408724627 -4.4067700402
光标键 -4.3930572506 -4.70780003587
太粗 -3.84898920625 -4.70780003587
春日 -4.3930572506 -4.70780003587
理论 -4.21696599155 -4.4067700402
三塔 -4.3930572506 -4.70780003587
飞信 -4.69408724627 -4.4067700402
不住 -4.3930572506 -4.23067878115
此次 -4.69408724627 -4.4067700402
不但 -4.69408724627 -4.4067700402
无从下手 -4.21696599155 -4.70780003587
超响 -4.3930572506 -4.70780003587
套用 -4.69408724627 -4.10574004454
边城 -4.3930572506 -4.70780003587
丽晶 -4.69408724627 -4.23067878115
路遥知马力 -4.69408724627 -4.4067700402
木落 -4.69408724627 -4.4067700402
运行状况 -4.69408724627 -4.4067700402
此款 -3.69408724627 -4.10574004454
惆怅 -4.21696599155 -4.70780003587
内行人 -4.21696599155 -4.70780003587
美眉 -4.69408724627 -4.23067878115
少见 -4.69408724627 -4.23067878115
大写 -4.3930572506 -4.70780003587
气息 -4.69408724627 -3.70780003587
哪种 -4.21696599155 -4.70780003587
没费 -4.69408724627 -4.4067700402
优良 -4.69408724627 -3.66640735071
双人房 -4.69408724627 -4.23067878115
侵舍 -4.69408724627 -4.4067700402
没贴 -4.3930572506 -4.70780003587
调成 -4.21696599155 -4.70780003587
国际 -4.3930572506 -4.00883003153
暗花 -4.69408724627 -4.4067700402
旅客 -4.3930572506 -4.4067700402
顺道 -4.69408724627 -4.4067700402
没货 -4.21696599155 -3.92964878548
占用率 -3.84898920625 -4.23067878115
窥临 -4.69408724627 -4.4067700402
摇摆不定 -4.69408724627 -4.4067700402
为恤 -4.3930572506 -4.70780003587
验货 -3.41533364531 -3.92964878548
原带 -4.69408724627 -4.4067700402
汽车 -4.69408724627 -4.4067700402
罗裙香 -4.3930572506 -4.70780003587
要大 -4.21696599155 -4.23067878115
免得 -4.09202725494 -4.23067878115
房屋 -4.69408724627 -4.4067700402
下三烂 -4.69408724627 -4.4067700402
罗衣 -4.3930572506 -4.70780003587
夜游 -4.3930572506 -4.70780003587
相中 -4.69408724627 -4.4067700402
屋外 -4.69408724627 -4.4067700402
挂掉 -4.21696599155 -4.70780003587
外包 -4.21696599155 -4.70780003587
菜品 -4.69408724627 -4.4067700402
指导 -4.09202725494 -4.4067700402
害得 -3.99511724193 -4.70780003587
颜色 -3.24692921492 -3.26064200452
轻未 -4.69408724627 -4.4067700402
噩梦 -4.21696599155 -4.70780003587
广告业务 -4.69408724627 -4.10574004454
酒力 -4.69408724627 -4.4067700402
飞去 -4.3930572506 -4.70780003587
电子版 -4.21696599155 -4.70780003587
怀于 -4.3930572506 -4.70780003587
密封 -4.21696599155 -4.70780003587
幽草 -4.69408724627 -4.4067700402
养蚕 -4.69408724627 -4.4067700402
值班员 -4.69408724627 -4.4067700402
贴切 -4.3930572506 -4.70780003587
回合 -4.3930572506 -4.70780003587
夏条绿 -4.69408724627 -4.4067700402
塌陷 -4.3930572506 -4.70780003587
换房 -4.69408724627 -4.10574004454
折算 -4.69408724627 -4.4067700402
凹凸不平 -4.3930572506 -4.70780003587
是从 -4.3930572506 -4.10574004454
渔樵 -4.69408724627 -4.23067878115
尚可 -4.09202725494 -3.62861878982
爱断 -4.3930572506 -4.70780003587
点儿 -4.3930572506 -4.4067700402
游戏王 -4.3930572506 -4.70780003587
打电话 -3.41533364531 -3.53170877681
全屏 -4.69408724627 -4.4067700402
此举 -4.69408724627 -4.4067700402
别楚云 -4.3930572506 -4.70780003587
难搞 -3.69408724627 -4.4067700402
谷寒云 -4.69408724627 -4.4067700402
搞笑 -4.3930572506 -4.4067700402
俗称 -4.3930572506 -4.4067700402
缺什么 -4.69408724627 -4.4067700402
西岳 -4.69408724627 -4.4067700402
偶尔 -3.79099725927 -3.92964878548
认得 -4.69408724627 -4.4067700402
平平 -4.69408724627 -4.4067700402
听见 -4.69408724627 -4.10574004454
疑惑 -4.3930572506 -4.70780003587
极快 -4.69408724627 -4.4067700402
晚餐 -4.3930572506 -3.92964878548
商用 -4.3930572506 -3.86270199585
几件事 -4.69408724627 -4.4067700402
小青年 -4.69408724627 -4.4067700402
依旧 -4.69408724627 -4.00883003153
妨碍 -4.3930572506 -4.70780003587
磨砂 -3.65269456111 -3.56167200019
放假 -4.69408724627 -4.4067700402
发到 -4.21696599155 -4.10574004454
骆马 -4.3930572506 -4.70780003587
收购 -4.69408724627 -3.92964878548
靓丽 -4.69408724627 -3.75355752643
订单号 -4.3930572506 -4.10574004454
可怕 -4.3930572506 -4.70780003587
传到 -4.21696599155 -4.70780003587
燕台 -4.69408724627 -4.4067700402
内联 -4.69408724627 -4.4067700402
可怜 -4.3930572506 -4.00883003153
不靠 -4.69408724627 -4.4067700402
有点烦 -3.99511724193 -4.70780003587
抨击 -4.69408724627 -4.4067700402
装备 -4.3930572506 -4.70780003587
更新 -3.48996726361 -3.66640735071
出口 -4.69408724627 -4.4067700402
哪位 -3.79099725927 -4.70780003587
木笔 -4.69408724627 -4.4067700402
装不上 -3.65269456111 -4.4067700402
出发 -4.69408724627 -4.23067878115
中通迅递 -4.3930572506 -4.70780003587
陶瓷 -4.69408724627 -4.4067700402
应有 -4.3930572506 -4.23067878115
彩色 -4.3930572506 -4.70780003587
寒樱枝 -4.69408724627 -4.4067700402
签字 -4.09202725494 -4.70780003587
顺便 -4.69408724627 -4.23067878115
常订 -4.69408724627 -4.4067700402
拷漆 -4.69408724627 -4.4067700402
产品描述 -4.3930572506 -4.70780003587
感应 -4.69408724627 -4.23067878115
心悲 -4.3930572506 -4.70780003587
分得 -4.69408724627 -4.4067700402
学下 -4.3930572506 -4.70780003587
字字 -4.69408724627 -4.4067700402
诸姬 -4.3930572506 -4.70780003587
同等 -3.91593599588 -3.59385668356
很灵 -4.69408724627 -4.4067700402
珍珠白 -4.69408724627 -4.4067700402
闹市区 -4.69408724627 -4.4067700402
处理意见 -4.3930572506 -4.70780003587
通病 -3.54795921059 -4.4067700402
接鼠 -4.3930572506 -4.70780003587
浅声 -4.69408724627 -4.4067700402
放在 -3.46363832489 -3.53170877681
现象 -3.46363832489 -3.92964878548
专业版 -4.09202725494 -4.70780003587
截止日 -4.69408724627 -4.4067700402
预定 -4.09202725494 -3.50368005321
拆机 -4.69408724627 -4.23067878115
很傻 -4.3930572506 -4.70780003587
敷衍 -4.09202725494 -4.70780003587
图像 -3.91593599588 -4.70780003587
余平的 -4.69408724627 -4.4067700402
爱花 -4.3930572506 -4.70780003587
君王 -4.69408724627 -4.4067700402
红外 -4.3930572506 -4.4067700402
平台 -3.91593599588 -4.10574004454
主题 -4.69408724627 -4.4067700402
做官 -4.3930572506 -4.70780003587
扣除 -4.21696599155 -4.70780003587
卡卡 -4.3930572506 -4.70780003587
宽阔 -4.69408724627 -4.4067700402
造成 -3.61490600022 -4.70780003587
外框 -4.21696599155 -4.70780003587
锋锐 -4.69408724627 -4.4067700402
坚决 -4.3930572506 -4.70780003587
播放 -3.84898920625 -3.45252753076
生日礼物 -4.21696599155 -4.10574004454
少有 -4.69408724627 -4.4067700402
前题 -4.69408724627 -4.4067700402
附件 -4.21696599155 -3.92964878548
了送 -4.69408724627 -4.4067700402
制定 -4.69408724627 -4.4067700402
贵吾 -4.69408724627 -4.4067700402
其中 -3.84898920625 -4.10574004454
空书 -4.3930572506 -4.70780003587
普屏 -4.21696599155 -4.70780003587
潘家园 -4.69408724627 -4.4067700402
买不起 -4.3930572506 -4.70780003587
前两天 -4.69408724627 -4.23067878115
显本 -4.3930572506 -4.70780003587
演奏 -4.69408724627 -4.23067878115
相呼 -4.3930572506 -4.70780003587
春风 -4.21696599155 -4.4067700402
失眠 -4.69408724627 -4.4067700402
隔壁 -4.69408724627 -3.92964878548
浮岛 -4.69408724627 -4.4067700402
改进 -3.37186795153 -3.34607219985
落伍 -4.69408724627 -4.4067700402
挺重 -4.3930572506 -4.70780003587
寒郊 -4.69408724627 -4.4067700402
解放碑 -4.69408724627 -4.10574004454
平面设计 -4.69408724627 -4.4067700402
任何人 -4.3930572506 -4.70780003587
差不多 -3.37186795153 -3.16373199152
才行 -4.3930572506 -4.70780003587
桌面 -3.99511724193 -4.4067700402
应该 -2.73984473683 -2.82130931069
非要 -4.69408724627 -4.4067700402
兔子 -4.09202725494 -4.4067700402
其次 -4.09202725494 -3.86270199585
梳子 -4.69408724627 -4.23067878115
任劳任怨 -4.69408724627 -4.23067878115
毛发 -4.69408724627 -4.4067700402
心怯 -4.3930572506 -4.70780003587
垫纸 -4.69408724627 -4.4067700402
毫无价值 -4.3930572506 -4.70780003587
深刻 -4.21696599155 -4.23067878115
芳草 -4.09202725494 -4.23067878115
力气 -4.09202725494 -4.70780003587
视频 -3.54795921059 -3.36537735504
明人 -4.3930572506 -4.70780003587
一步到位 -4.3930572506 -4.70780003587
明亮 -4.3930572506 -4.4067700402
打通 -3.99511724193 -4.70780003587
打车 -4.69408724627 -3.59385668356
打造 -4.69408724627 -4.4067700402
色彩 -3.46363832489 -3.47735111449
高出 -4.69408724627 -4.23067878115
红色 -3.73984473683 -3.66640735071
重插 -4.3930572506 -4.70780003587
飞鸿 -4.69408724627 -4.4067700402
依法办理 -4.21696599155 -4.70780003587
炙背檐 -4.69408724627 -4.4067700402
游泳池 -4.69408724627 -4.00883003153
汀洲 -4.3930572506 -4.70780003587
营盘 -4.3930572506 -4.70780003587
感不强 -4.69408724627 -4.4067700402
E通 -4.3930572506 -4.70780003587
大字 -4.69408724627 -4.4067700402
便携性 -4.21696599155 -4.4067700402
抓紧 -4.69408724627 -4.4067700402
砍掉 -4.21696599155 -4.70780003587
另配 -4.3930572506 -4.4067700402
旋马 -4.69408724627 -4.4067700402
中规中矩 -4.69408724627 -3.92964878548
商家 -3.54795921059 -4.70780003587
原因 -2.89474669681 -3.47735111449
正对着 -4.69408724627 -4.4067700402
等级 -4.69408724627 -4.4067700402
山薇 -4.3930572506 -4.70780003587
负重 -4.69408724627 -4.4067700402
秋来 -4.69408724627 -4.4067700402
实话 -4.69408724627 -4.4067700402
共振 -4.21696599155 -4.4067700402
园柳 -4.69408724627 -4.4067700402
货到付款 -3.99511724193 -4.4067700402
两相 -4.3930572506 -4.70780003587
有权 -4.69408724627 -4.4067700402
转帐 -4.69408724627 -4.4067700402
蜻蜓 -4.69408724627 -4.4067700402
重启 -3.54795921059 -4.23067878115
调到 -4.09202725494 -4.00883003153
垫脚 -4.21696599155 -4.70780003587
负责 -3.91593599588 -4.00883003153
清江 -4.69408724627 -4.23067878115
合不拢 -4.3930572506 -4.70780003587
何事 -4.69408724627 -4.4067700402
大方 -4.69408724627 -3.24540203797
简配 -4.3930572506 -4.70780003587
拔掉 -4.21696599155 -4.70780003587
且是 -4.3930572506 -4.4067700402
闲行 -4.69408724627 -4.4067700402
查查 -4.69408724627 -4.4067700402
清爽 -4.3930572506 -4.70780003587
安装时间 -4.69408724627 -4.4067700402
父母 -4.21696599155 -4.70780003587
双击 -4.69408724627 -4.23067878115
一架 -4.69408724627 -4.4067700402
归思欲沾巾 -4.3930572506 -4.70780003587
数树 -4.69408724627 -4.4067700402
官方网站 -3.73984473683 -4.00883003153
不信 -4.3930572506 -4.70780003587
枪手 -4.69408724627 -4.4067700402
之前 -3.51799598721 -3.18928609599
飞体 -4.69408724627 -4.4067700402
协程 -4.69408724627 -4.4067700402
键位 -4.09202725494 -4.23067878115
港币 -4.69408724627 -4.23067878115
无闷 -4.69408724627 -4.4067700402
手感 -3.11430364965 -2.67841625818
时会 -3.79099725927 -4.4067700402
换换 -4.3930572506 -4.23067878115
会言 -4.3930572506 -4.70780003587
测量 -4.3930572506 -4.70780003587
和摩花 -4.21696599155 -4.70780003587
没听到过 -4.69408724627 -4.4067700402
打开 -2.90169555677 -3.27643627171
靡日不思 -4.3930572506 -4.70780003587
时说 -4.69408724627 -4.4067700402
磁盘分区 -4.21696599155 -4.70780003587
远远 -3.99511724193 -4.70780003587
危险 -4.3930572506 -4.70780003587
比较稳定 -4.69408724627 -4.23067878115
皂衣 -4.69408724627 -4.4067700402
矗立 -4.69408724627 -4.4067700402
编程 -4.3930572506 -4.4067700402
收回 -4.3930572506 -4.70780003587
人员配备 -4.69408724627 -4.4067700402
极其 -4.09202725494 -4.10574004454
老劲 -4.21696599155 -4.70780003587
分是 -4.3930572506 -4.70780003587
密意 -4.69408724627 -4.4067700402
金额 -4.3930572506 -3.86270199585
买好 -4.3930572506 -4.23067878115
高洁 -4.69408724627 -4.4067700402
售票 -4.3930572506 -4.70780003587
协同 -4.69408724627 -4.4067700402
无意间 -4.69408724627 -4.23067878115
五月 -4.3930572506 -4.70780003587
没坏 -4.69408724627 -4.4067700402
分明 -4.3930572506 -4.23067878115
扣盖 -3.99511724193 -4.70780003587
谁家 -4.3930572506 -4.70780003587
面一摸 -4.21696599155 -4.70780003587
变态 -3.84898920625 -4.70780003587
漫游 -4.69408724627 -4.4067700402
没准儿 -4.3930572506 -4.70780003587
空屏营 -4.69408724627 -4.4067700402
裂开 -4.21696599155 -4.70780003587
今日 -4.3930572506 -4.4067700402
先花 -4.3930572506 -4.70780003587
驱动程序 -3.43881474116 -3.75355752643
积极 -4.69408724627 -4.23067878115
威猛 -4.69408724627 -4.23067878115
大礼包 -4.09202725494 -4.10574004454
莫嗔 -4.69408724627 -4.4067700402
频才 -4.3930572506 -4.70780003587
心跳 -4.3930572506 -4.70780003587
维修点 -3.91593599588 -4.70780003587
兼容性 -3.99511724193 -3.86270199585
蝴蝶剑 -4.3930572506 -4.70780003587
立马 -3.99511724193 -4.23067878115
置之不理 -4.3930572506 -4.70780003587
适配器 -3.65269456111 -4.00883003153
感谢 -4.69408724627 -3.50368005321
已经 -2.96169348644 -2.78872194349
放心 -3.84898920625 -3.16373199152
粗话 -4.3930572506 -4.70780003587
大屏幕 -4.69408724627 -4.10574004454
一丝丝 -4.3930572506 -4.70780003587
快快 -4.3930572506 -4.70780003587
虚惊一场 -4.21696599155 -4.4067700402
间距 -3.99511724193 -4.70780003587
舒心 -4.69408724627 -4.23067878115
考不 -4.3930572506 -4.70780003587
蛾翠 -4.69408724627 -4.4067700402
权衡 -4.69408724627 -4.4067700402
品牌优势 -4.69408724627 -4.23067878115
拍摄 -4.69408724627 -4.4067700402
快要 -4.21696599155 -4.4067700402
巫咸 -4.69408724627 -4.4067700402
忘记 -4.3930572506 -4.4067700402
用不惯 -3.84898920625 -4.70780003587
残漏 -4.3930572506 -4.70780003587
懒惰 -4.3930572506 -4.70780003587
快点 -4.09202725494 -4.4067700402
新式 -4.69408724627 -4.4067700402
硬硬 -4.3930572506 -4.70780003587
花哨 -4.09202725494 -4.4067700402
此事 -4.69408724627 -4.4067700402
新开 -4.3930572506 -4.4067700402
中拖 -4.3930572506 -4.4067700402
商务中心 -4.69408724627 -4.10574004454
逛逛 -4.69408724627 -4.4067700402
停在 -4.3930572506 -4.70780003587
突破 -4.69408724627 -4.4067700402
小窗 -4.69408724627 -4.4067700402
差太 -4.69408724627 -4.4067700402
不至于 -4.09202725494 -4.70780003587
原版 -3.69408724627 -4.70780003587
严格把关 -4.69408724627 -4.4067700402
但有 -4.3930572506 -4.70780003587
奸商 -4.3930572506 -4.4067700402
盘要 -4.21696599155 -4.70780003587
手一 -4.69408724627 -4.4067700402
枫丹 -4.69408724627 -4.4067700402
洋气 -4.69408724627 -4.4067700402
一线品牌 -4.69408724627 -4.4067700402
稍远 -4.69408724627 -4.4067700402
手上 -4.69408724627 -4.23067878115
间隔 -4.21696599155 -4.70780003587
外频 -4.21696599155 -4.4067700402
不好不坏 -4.69408724627 -4.23067878115
间隙 -4.21696599155 -4.70780003587
禽流感 -4.69408724627 -4.4067700402
极限 -4.09202725494 -4.70780003587
之中 -4.69408724627 -4.4067700402
消防通道 -4.69408724627 -4.4067700402
包换 -4.09202725494 -4.4067700402
白门 -4.69408724627 -4.4067700402
偏贵 -4.21696599155 -4.10574004454
全体同仁 -4.69408724627 -4.4067700402
恶劣 -4.21696599155 -4.70780003587
要是 -2.73984473683 -3.70780003587
之一 -4.69408724627 -4.00883003153
头上 -4.3930572506 -4.4067700402
之下 -4.69408724627 -4.23067878115
歌舞晚会 -4.69408724627 -4.4067700402
微风 -4.3930572506 -4.4067700402
费点 -4.3930572506 -4.70780003587
爆发 -4.69408724627 -4.4067700402
小心 -3.65269456111 -4.23067878115
人品 -3.91593599588 -4.23067878115
松下 -4.3930572506 -4.70780003587
温热 -4.3930572506 -4.23067878115
浪花 -4.3930572506 -4.70780003587
探梅 -4.69408724627 -4.4067700402
下定决心 -4.69408724627 -4.4067700402
宾馆 -3.99511724193 -2.97540627604
几枝 -4.69408724627 -4.4067700402
旋转 -4.69408724627 -4.00883003153
杯子 -4.69408724627 -4.4067700402
敲到 -4.3930572506 -4.70780003587
搞不定 -3.79099725927 -4.4067700402
减少 -4.21696599155 -4.70780003587
不凡 -4.69408724627 -4.4067700402
出海 -4.3930572506 -4.70780003587
色况 -4.3930572506 -4.70780003587
补发 -3.99511724193 -4.23067878115
不出 -4.3930572506 -4.70780003587
回来 -3.26272348211 -3.34607219985
随身 -4.69408724627 -4.23067878115
减小 -4.21696599155 -4.70780003587
用心 -4.69408724627 -4.4067700402
合家幸福 -4.69408724627 -4.4067700402
取货 -4.3930572506 -3.92964878548
控制板 -4.3930572506 -4.70780003587
好装 -4.69408724627 -4.00883003153
急键 -4.3930572506 -4.70780003587
起看 -4.69408724627 -4.4067700402
更多 -4.3930572506 -4.4067700402
日长 -4.3930572506 -4.70780003587
意思 -3.84898920625 -4.70780003587
节省成本 -4.3930572506 -4.70780003587
接入 -4.21696599155 -4.23067878115
处理速度 -4.21696599155 -4.10574004454
应配 -4.3930572506 -4.70780003587
公交 -4.69408724627 -4.4067700402
屏幕 -2.21987098219 -2.35177417867
物品 -3.91593599588 -4.70780003587
映边亭 -4.3930572506 -4.70780003587
比较慢 -3.99511724193 -4.4067700402
别离 -4.3930572506 -4.70780003587
特级 -4.3930572506 -4.70780003587
照水 -4.69408724627 -4.23067878115
炼精 -4.3930572506 -4.70780003587
手脚 -4.69408724627 -4.4067700402
微有 -4.21696599155 -4.70780003587
质量 -3.02198938833 -2.65089518453
抹布 -4.3930572506 -4.70780003587
平整 -4.21696599155 -4.23067878115
五湖 -4.69408724627 -4.4067700402
歌古调 -4.3930572506 -4.70780003587
高手 -3.61490600022 -4.10574004454
掌托 -3.73984473683 -3.80471004887
仓库 -4.69408724627 -4.4067700402
标注 -4.3930572506 -4.70780003587
先进 -4.3930572506 -4.10574004454
臭味 -4.09202725494 -4.70780003587
随身携带 -4.3930572506 -4.70780003587
献给 -4.69408724627 -4.4067700402
用不上 -3.99511724193 -4.70780003587
发觉 -4.3930572506 -4.23067878115
略显 -4.21696599155 -4.4067700402
超低 -4.69408724627 -4.4067700402
匆匆 -4.3930572506 -4.4067700402
换句话说 -4.3930572506 -4.70780003587
贪心 -4.3930572506 -4.70780003587
玉柱空 -4.69408724627 -4.4067700402
篱落 -4.69408724627 -4.4067700402
荒裔 -4.69408724627 -4.4067700402
降为 -4.3930572506 -4.70780003587
很硬 -4.3930572506 -4.70780003587
还用 -4.09202725494 -4.10574004454
无归意 -4.69408724627 -4.4067700402
文档 -3.79099725927 -4.00883003153
难忘 -4.69408724627 -4.4067700402
漂亮 -3.27911389829 -2.40244866642
所任 -4.69408724627 -4.4067700402
成绩 -4.69408724627 -4.4067700402
灰点 -4.3930572506 -4.70780003587
文案 -4.69408724627 -4.4067700402
面部 -4.21696599155 -4.23067878115
管理模式 -4.69408724627 -4.4067700402
所以 -2.93821239059 -2.85654168715
过热 -4.3930572506 -4.4067700402
刺眼 -3.91593599588 -4.23067878115
澹烟疏 -4.3930572506 -4.70780003587
牺牲 -4.3930572506 -4.70780003587
没得说 -4.69408724627 -3.47735111449
突出 -3.3930572506 -3.53170877681
碰到 -3.61490600022 -4.10574004454
主任 -4.69408724627 -4.4067700402
热度 -4.69408724627 -4.23067878115
现金支付 -4.3930572506 -4.70780003587
金殿 -4.69408724627 -4.23067878115
纯粹 -4.21696599155 -4.4067700402
车门 -4.69408724627 -4.4067700402
上面 -3.26272348211 -3.56167200019
玩起来 -4.21696599155 -4.70780003587
份上 -4.3930572506 -4.70780003587
合用 -4.3930572506 -4.70780003587
银筝 -4.3930572506 -4.70780003587
不重 -4.69408724627 -4.00883003153
这里 -3.54795921059 -3.12801643925
白痴 -4.21696599155 -4.70780003587
